year,state,state_id,FAO_region,envt,spp_n_usda,usda_usd_2018inflation,usda_usd_nohybrid_2018inflation,usda_wt_lb,prop_farms_salt,usda_num_SALTfarms,usda_SALTacres,spp_n_fao,n_spp_expt,expt_wt_lb,expt_usd_2018inflation
2013,Connecticut,CT,"Atlantic, Northwest",marine,2,30504587.50,30504587.50,NA,0.89,25,42625,4,NA,NA,NA
2013,Delaware,DE,"Atlantic, Northwest",marine,2,0.00,0.00,NA,NA,NA,NA,4,NA,NA,NA
2013,Florida,FL,"Atlantic, Western Central",marine,13,21466047.99,20189952.55,NA,0.43,169,1078,4,8,235303,1189969.70
2013,Georgia,GA,"Atlantic, Western Central",marine,5,125048.00,125048.00,NA,0.1,6,1220,4,NA,NA,NA
2013,Hawaii,HI,"Pacific, Eastern Central",marine,6,16182733.34,16182733.34,NA,0.36,16,751,1,1,881848,2587.20
2013,Louisiana,LA,"Atlantic, Western Central",marine,6,28816898.73,28816898.73,NA,0.1,48,103159,4,NA,NA,NA
2013,Massachusetts,MA,"Atlantic, Northwest",marine,10,13670462.96,13670462.96,NA,0.92,133,658,4,2,3213656,10736719.38
2013,Maryland,MD,"Atlantic, Northwest",marine,6,0.00,0.00,NA,0.67,12,702,4,2,0,1822806.37
2013,Maine,ME,"Atlantic, Northwest",marine,4,1980989.93,1980989.93,NA,0.71,25,999,4,3,43011549,5456657.38
2013,Mississippi,MI,"Atlantic, Western Central",marine,2,72980.60,72980.60,NA,NA,NA,NA,4,NA,NA,NA
2013,North Carolina,NC,"Atlantic, Western Central",marine,5,10104393.68,362953.98,NA,0.18,26,286,4,3,317400,2820048.00
2013,New Hampshire,NH,"Atlantic, Northwest",marine,1,0.00,0.00,NA,0.14,1, NA,4,1,0,61073.44
2013,New Jersey,NJ,"Atlantic, Northwest",marine,5,11106571.48,11106571.48,NA,0.85,50,16958,4,2,0,2569118.71
2013,New York,NY,"Atlantic, Northwest",marine,6,0.00,0.00,NA,0.36,16,2233,4,NA,NA,NA
2013,Oregon,OR,"Pacific, Northeast",marine,5,11377785.50,11377785.50,NA,0.46,17,3539,14,1,0,1942358.64
2013,Rhode Island,RI,"Atlantic, Northwest",marine,5,0.00,0.00,NA,1,21,97,4,3,6250,4532619.17
2013,South Carolina,SC,"Atlantic, Western Central",marine,7,2175867.54,2175867.54,NA,0.31,10,809,4,1,0,0.00
2013,Texas,TX,"Atlantic, Western Central",marine,4,27676388.74,0.00,NA,0.14,14,1635,4,2,5726187,9702000.00
2013,Virginia,VA,"Atlantic, Northwest",marine,6,44788328.97,44760928.37,NA,NA,NA,NA,4,1,856471.19,5903544.10
2013,Washington,WA,"Pacific, Northeast",marine,16,293669053.20,293669053.20,NA,0.9,128,15283,14,16,34871148,99229535.86
2018,Alaska,AK,"Pacific, Northeast",marine,5,1724000.00,1724000.00,NA,1,38,249,8,3,90549,1411084.00
2018,Alabama,AL,"Atlantic, Western Central",marine,3,74000.00,74000.00,NA,0.03,4, NA,3,1,0,0.00
2018,California,CA,"Pacific, Eastern Central",marine,8,60133000.00,57481000.00,NA,0.23,21,8354,1,3,1265578,8713577.00
2018,Connecticut,CT,"Atlantic, Northwest",marine,5,0.00,0.00,NA,0.68,26,26884,4,NA,NA,NA
2018,Delaware,DE,"Atlantic, Northwest",marine,1,0.00,0.00,NA,1,1, NA,4,NA,NA,NA
2018,Florida,FL,"Atlantic, Western Central",marine,14,16266000.00,15552000.00,NA,0.55,178,869,3,9,30086,247545.00
2018,Georgia,GA,"Atlantic, Western Central",marine,4,0.00,0.00,NA,0.08,3, NA,3,NA,NA,NA
2018,Hawaii,HI,"Pacific, Eastern Central",marine,9,0.00,0.00,NA,0.47,23,573,1,NA,NA,NA
2018,Louisiana,LA,"Atlantic, Western Central",marine,5,58016000.00,58016000.00,NA,0.06,30,141584,3,1,6418.24,130039.00
2018,Massachusetts,MA,"Atlantic, Northwest",marine,8,25571000.00,25571000.00,NA,0.96,161,693,4,2,8134834,26561513.00
2018,Maryland,MD,"Atlantic, Northwest",marine,7,3651000.00,3651000.00,NA,0.7,28,1770,4,1,0,4755805.00
2018,Maine,ME,"Atlantic, Northwest",marine,10,7271000.00,7271000.00,NA,0.86,56,1219,4,3,2179814,11289537.00
2018,Mississippi,MI,"Atlantic, Western Central",marine,1,0.00,0.00,NA,NA,NA,NA,3,NA,NA,NA
2018,North Carolina,NC,"Atlantic, Western Central",marine,5,9474000.00,1328000.00,NA,0.31,39,278,3,3,234500,3729800.00
2018,New Hampshire,NH,"Atlantic, Northwest",marine,4,542000.00,542000.00,NA,0.91,21,79,4,1,0,311039.22
2018,New Jersey,NJ,"Atlantic, Northwest",marine,3,6434000.00,6434000.00,NA,0.81,42, NA,4,NA,NA,NA
2018,New York,NY,"Atlantic, Northwest",marine,6,0.00,0.00,NA,0.43,21,2102,4,1,0,0.00
2018,Oregon,OR,"Pacific, Northeast",marine,7,19637000.00,19637000.00,NA,0.39,15,676,8,1,0,2256091.60
2018,Rhode Island,RI,"Atlantic, Northwest",marine,4,5008000.00,5008000.00,NA,1,27,286,4,1,0,6094199.00
2018,South Carolina,SC,"Atlantic, Western Central",marine,6,1826000.00,1826000.00,NA,0.61,14, NA,3,1,260974.07,647519.97
2018,Texas,TX,"Atlantic, Western Central",marine,4,19403000.00,19403000.00,NA,0.16,15,2092,3,NA,NA,NA
2018,Virginia,VA,"Atlantic, Northwest",marine,6,94325000.00,94308000.00,NA,NA,NA,NA,4,2,589984.53,4744415.10
2018,Washington,WA,"Pacific, Northeast",marine,14,207236000.00,207236000.00,NA,0.95,115,15957,8,NA,NA,NA
